"Project Organization","Expenditure Month Year","Total Expenditure Amount","Expenditure Date"
"Rural Health","2023-08",1000.22,2023-08-01
"Rural Health","2023-09",1194.79,2023-09-01
"Rural Health","2023-10",2788.97,2023-10-01
"Rural Health","2023-11",2814.11,2023-11-01
"Rural Health","2023-12",3373.99,2023-12-01
"Rural Health","2024-01",3285.99,2024-01-01
"Rural Health","2024-02",3373.83,2024-02-01
"Rural Health","2024-03",3713.73,2024-03-01
"Rural Health","2024-04",5498.94,2024-04-01
"Rural Health","2024-05",7294.03,2024-05-01
"Rural Health","2024-06",17415.14,2024-06-01
"Rural Health","2024-07",26394.36,2024-07-01
"Rural Health","2024-08",15562.96,2024-08-01
"Rural Health","2024-09",2814.81,2024-09-01
"Rural Health","2024-10",5596.72,2024-10-01
"Rural Health","2024-11",3938.47,2024-11-01
"Rural Health","2024-12",3161.87,2024-12-01
"Rural Health","2025-01",3207.36,2025-01-01
"Rural Health","2025-02",3203.72,2025-02-01
"Rural Health","2025-03",4122.92,2025-03-01
"Rural Health","2025-04",4466.2,2025-04-01
"Rural Health","2025-05",11057.8,2025-05-01
"School of Computing","2023-09",3235.35,2023-09-01
"School of Computing","2023-10",7442.29,2023-10-01
"School of Computing","2023-11",4467.54,2023-11-01
"School of Computing","2023-12",3972.99,2023-12-01
"School of Computing","2024-01",5618.95,2024-01-01
"School of Computing","2024-02",4254.62,2024-02-01
"School of Computing","2024-03",1019.27,2024-03-01
"School of Computing","2024-04",1019.27,2024-04-01
"School of Computing","2024-05",1171.03,2024-05-01
"School of Computing","2024-06",8576.12,2024-06-01
"School of Computing","2024-07",3383.38,2024-07-01
"School of Computing","2024-08",2779.72,2024-08-01
"School of Computing","2024-09",12686.85,2024-09-01
"School of Computing","2024-10",6160.38,2024-10-01
"School of Computing","2024-11",4462.25,2024-11-01
"School of Computing","2024-12",5150.98,2024-12-01
"School of Computing","2025-01",6780.43,2025-01-01
"School of Computing","2025-02",3815.84,2025-02-01
"School of Computing","2025-03",6362.35,2025-03-01
"School of Computing","2025-04",4437.48,2025-04-01
"School of Computing","2025-05",12505.43,2025-05-01
"School of Energy Resources Directors Office","2021-07",75548.73,2021-07-01
"School of Energy Resources Directors Office","2021-08",43349.66,2021-08-01
"School of Energy Resources Directors Office","2021-09",45439.4,2021-09-01
"School of Energy Resources Directors Office","2021-10",88089.37,2021-10-01
"School of Energy Resources Directors Office","2021-11",98004.85,2021-11-01
"School of Energy Resources Directors Office","2021-12",66282.4,2021-12-01
"School of Energy Resources Directors Office","2022-01",63263.07,2022-01-01
"School of Energy Resources Directors Office","2022-02",50323.11,2022-02-01
"School of Energy Resources Directors Office","2022-03",89111.71,2022-03-01
"School of Energy Resources Directors Office","2022-04",84954.2,2022-04-01
"School of Energy Resources Directors Office","2022-05",67194.24,2022-05-01
"School of Energy Resources Directors Office","2022-06",98555.91,2022-06-01
"School of Energy Resources Directors Office","2022-07",127923.44,2022-07-01
"School of Energy Resources Directors Office","2022-08",113047.6,2022-08-01
"School of Energy Resources Directors Office","2022-09",118590.2,2022-09-01
"School of Energy Resources Directors Office","2022-10",94500.78,2022-10-01
"School of Energy Resources Directors Office","2022-11",100507.55,2022-11-01
"School of Energy Resources Directors Office","2022-12",99885.11,2022-12-01
"School of Energy Resources Directors Office","2023-01",116626.8,2023-01-01
"School of Energy Resources Directors Office","2023-02",248369.83,2023-02-01
"School of Energy Resources Directors Office","2023-03",81208.21,2023-03-01
"School of Energy Resources Directors Office","2023-04",86390.62,2023-04-01
"School of Energy Resources Directors Office","2023-05",91449.75,2023-05-01
"School of Energy Resources Directors Office","2023-06",102420.48,2023-06-01
"School of Energy Resources Directors Office","2023-07",117155.96,2023-07-01
"School of Energy Resources Directors Office","2023-08",126051.92,2023-08-01
"School of Energy Resources Directors Office","2023-09",97151.36,2023-09-01
"School of Energy Resources Directors Office","2023-10",107250.95,2023-10-01
"School of Energy Resources Directors Office","2023-11",87128.1,2023-11-01
"School of Energy Resources Directors Office","2023-12",87454.42,2023-12-01
"School of Energy Resources Directors Office","2024-01",85031.83,2024-01-01
"School of Energy Resources Directors Office","2024-02",88555.36,2024-02-01
"School of Energy Resources Directors Office","2024-03",94599.82,2024-03-01
"School of Energy Resources Directors Office","2024-04",98411.17,2024-04-01
"School of Energy Resources Directors Office","2024-05",117766,2024-05-01
"School of Energy Resources Directors Office","2024-06",106570.55,2024-06-01
"School of Energy Resources Directors Office","2024-07",104211.04,2024-07-01
"School of Energy Resources Directors Office","2024-08",135294.63,2024-08-01
"School of Energy Resources Directors Office","2024-09",94929.73,2024-09-01
"School of Energy Resources Directors Office","2024-10",100576.9,2024-10-01
"School of Energy Resources Directors Office","2024-11",118610.66,2024-11-01
"School of Energy Resources Directors Office","2024-12",86533.87,2024-12-01
"School of Energy Resources Directors Office","2025-01",91491.66,2025-01-01
"School of Energy Resources Directors Office","2025-02",83256.62,2025-02-01
"School of Energy Resources Directors Office","2025-03",113146.4,2025-03-01
"School of Energy Resources Directors Office","2025-04",78840.15,2025-04-01
"School of Energy Resources Directors Office","2025-05",110924.41,2025-05-01
"School of Energy Resources Directors Office","2025-06",1513,2025-06-01
"School of Nursing","2022-01",42.48,2022-01-01
"School of Nursing","2022-02",3.34,2022-02-01
"School of Nursing","2022-03",5.49,2022-03-01
"School of Nursing","2022-07",84.9,2022-07-01
"School of Nursing","2022-12",3400.65,2022-12-01
"School of Nursing","2023-01",90.5,2023-01-01
"School of Pharmacy","2021-07",18810.79,2021-07-01
"School of Pharmacy","2021-08",19159.14,2021-08-01
"School of Pharmacy","2021-09",15322.69,2021-09-01
"School of Pharmacy","2021-10",25747.32,2021-10-01
"School of Pharmacy","2021-11",22757.62,2021-11-01
"School of Pharmacy","2021-12",18699.43,2021-12-01
"School of Pharmacy","2022-01",13813.25,2022-01-01
"School of Pharmacy","2022-02",21683.46,2022-02-01
"School of Pharmacy","2022-03",19782.5,2022-03-01
"School of Pharmacy","2022-04",16313.33,2022-04-01
"School of Pharmacy","2022-05",23057.39,2022-05-01
"School of Pharmacy","2022-06",27682.82,2022-06-01
"School of Pharmacy","2022-07",29845.24,2022-07-01
"School of Pharmacy","2022-08",18659.64,2022-08-01
"School of Pharmacy","2022-09",9160.33,2022-09-01
"School of Pharmacy","2022-10",14131.31,2022-10-01
"School of Pharmacy","2022-11",7944.57,2022-11-01
"School of Pharmacy","2022-12",14038.44,2022-12-01
"School of Pharmacy","2023-01",15182.21,2023-01-01
"School of Pharmacy","2023-02",12167.93,2023-02-01
"School of Pharmacy","2023-03",7766.07,2023-03-01
"School of Pharmacy","2023-04",7383.2,2023-04-01
"School of Pharmacy","2023-05",15259.85,2023-05-01
"School of Pharmacy","2023-06",19130.64,2023-06-01
"School of Pharmacy","2023-07",16370.13,2023-07-01
"School of Pharmacy","2023-08",15525.84,2023-08-01
"School of Pharmacy","2023-09",5376.59,2023-09-01
"School of Pharmacy","2023-10",4657.96,2023-10-01
"School of Pharmacy","2023-11",6176.28,2023-11-01
"School of Pharmacy","2023-12",8011.75,2023-12-01
"School of Pharmacy","2024-01",4777.13,2024-01-01
"School of Pharmacy","2024-02",5562.83,2024-02-01
"School of Pharmacy","2024-03",8722.91,2024-03-01
"School of Pharmacy","2024-04",7310,2024-04-01
"School of Pharmacy","2024-05",10255.07,2024-05-01
"School of Pharmacy","2024-06",13490.82,2024-06-01
"School of Pharmacy","2024-07",19789.61,2024-07-01
"School of Pharmacy","2024-08",16753.91,2024-08-01
"School of Pharmacy","2024-09",7512.72,2024-09-01
"School of Pharmacy","2024-10",5773.81,2024-10-01
"School of Pharmacy","2024-11",11029.14,2024-11-01
"School of Pharmacy","2024-12",7846.3,2024-12-01
"School of Pharmacy","2025-01",6966.83,2025-01-01
"School of Pharmacy","2025-02",7635.3,2025-02-01
"School of Pharmacy","2025-03",15196.87,2025-03-01
"School of Pharmacy","2025-04",14213.72,2025-04-01
"School of Pharmacy","2025-05",8870.43,2025-05-01
"School of Pharmacy","2025-06",556.25,2025-06-01
"School of Teacher Education","2021-07",26734.42,2021-07-01
"School of Teacher Education","2021-08",87322.93,2021-08-01
"School of Teacher Education","2021-09",7513.5,2021-09-01
"School of Teacher Education","2021-10",10266.77,2021-10-01
"School of Teacher Education","2021-11",4520.98,2021-11-01
"School of Teacher Education","2021-12",10396.33,2021-12-01
"School of Teacher Education","2022-01",6710.72,2022-01-01
"School of Teacher Education","2022-02",5855.87,2022-02-01
"School of Teacher Education","2022-03",7738.42,2022-03-01
"School of Teacher Education","2022-04",4623.48,2022-04-01
"School of Teacher Education","2022-05",11079.87,2022-05-01
"School of Teacher Education","2022-06",18007.89,2022-06-01
"School of Teacher Education","2022-07",15836.12,2022-07-01
"School of Teacher Education","2022-08",6959.46,2022-08-01
"School of Teacher Education","2022-09",25220.54,2022-09-01
"School of Teacher Education","2022-10",2144.49,2022-10-01
"School of Teacher Education","2022-11",12165.3,2022-11-01
"School of Teacher Education","2022-12",2567.13,2022-12-01
"School of Teacher Education","2023-01",2411.1,2023-01-01
"School of Teacher Education","2023-02",1795.49,2023-02-01
"School of Teacher Education","2023-03",4082.44,2023-03-01
"School of Teacher Education","2023-04",1137.11,2023-04-01
"School of Teacher Education","2023-05",3085.26,2023-05-01
"School of Teacher Education","2023-06",82515.4,2023-06-01
"School of Teacher Education","2023-07",4896.01,2023-07-01
"School of Teacher Education","2023-08",10058.1,2023-08-01
"School of Teacher Education","2023-09",15638.41,2023-09-01
"School of Teacher Education","2023-10",10069.55,2023-10-01
"School of Teacher Education","2023-11",8286.88,2023-11-01
"School of Teacher Education","2023-12",8134,2023-12-01
"School of Teacher Education","2024-01",4097.91,2024-01-01
"School of Teacher Education","2024-02",4272.26,2024-02-01
"School of Teacher Education","2024-03",4330.41,2024-03-01
"School of Teacher Education","2024-04",4086.74,2024-04-01
"School of Teacher Education","2024-05",5151.27,2024-05-01
"School of Teacher Education","2024-06",6959.99,2024-06-01
"School of Teacher Education","2024-07",4975.47,2024-07-01
"School of Teacher Education","2024-08",5212.13,2024-08-01
"School of Teacher Education","2024-09",4647.33,2024-09-01
"School of Teacher Education","2024-10",4722.26,2024-10-01
"School of Teacher Education","2024-11",4505.65,2024-11-01
"School of Teacher Education","2024-12",4640.7,2024-12-01
"School of Teacher Education","2025-01",4217.49,2025-01-01
"School of Teacher Education","2025-02",4214.89,2025-02-01
"School of Teacher Education","2025-03",4055.24,2025-03-01
"School of Teacher Education","2025-04",6696.46,2025-04-01
"School of Teacher Education","2025-05",4538.9,2025-05-01
"School of Teacher Education","2025-06",57.53,2025-06-01
"Science & Math Teaching Center","2021-08",712.23,2021-08-01
"Science & Math Teaching Center","2021-09",63.8,2021-09-01
"Science & Math Teaching Center","2022-10",555.45,2022-10-01
"Science & Math Teaching Center","2023-01",359.24,2023-01-01
"Science & Math Teaching Center","2023-02",978.19,2023-02-01
"Science & Math Teaching Center","2023-03",978.19,2023-03-01
"Science & Math Teaching Center","2023-04",978.19,2023-04-01
"Science & Math Teaching Center","2023-05",978.19,2023-05-01
"Science & Math Teaching Center","2023-09",739.83,2023-09-01
"Science & Math Teaching Center","2023-10",6693.48,2023-10-01
"Science & Math Teaching Center","2023-11",493.22,2023-11-01
"Science & Math Teaching Center","2023-12",1498.74,2023-12-01
"Science & Math Teaching Center","2024-01",450.92,2024-01-01
"Science & Math Teaching Center","2024-02",443.9,2024-02-01
"Science & Math Teaching Center","2024-03",443.9,2024-03-01
"Science & Math Teaching Center","2024-04",0,2024-04-01
"Science & Math Teaching Center","2024-07",216.84,2024-07-01
"Science & Math Teaching Center","2024-08",106.06,2024-08-01
"Science & Math Teaching Center","2024-10",669.33,2024-10-01
"Science & Math Teaching Center","2024-11",848,2024-11-01
"Science & Math Teaching Center","2024-12",1057.18,2024-12-01
"Science & Math Teaching Center","2025-01",3944.44,2025-01-01
"Science & Math Teaching Center","2025-02",881.57,2025-02-01
"Science & Math Teaching Center","2025-04",4015.36,2025-04-01
"Science & Math Teaching Center","2025-05",692.64,2025-05-01
"Science Institute","2023-10",5134.53,2023-10-01
"Science Institute","2023-11",376.49,2023-11-01
"Science Institute","2023-12",1125.13,2023-12-01
"Science Institute","2024-01",606.23,2024-01-01
"Science Institute","2024-02",755.05,2024-02-01
"Science Institute","2024-03",2950.09,2024-03-01
"Science Institute","2024-04",5240.6,2024-04-01
"Science Institute","2024-05",10785.55,2024-05-01
"Science Institute","2024-06",13863.15,2024-06-01
"Science Institute","2024-07",5604.6,2024-07-01
"Science Institute","2024-08",1876.4,2024-08-01
"Science Institute","2024-09",4318.16,2024-09-01
"Science Institute","2024-10",7803.78,2024-10-01
"Science Institute","2024-11",3052.35,2024-11-01
"Science Institute","2024-12",802.78,2024-12-01
"Science Institute","2025-01",5719.2,2025-01-01
"Science Institute","2025-02",11311.51,2025-02-01
"Science Institute","2025-03",6710.83,2025-03-01
"Science Institute","2025-04",3051.4,2025-04-01
"Science Institute","2025-05",8577.3,2025-05-01
"Science Institute","2025-06",151.26,2025-06-01
"Small Business Development Center","2021-07",17845.78,2021-07-01
"Small Business Development Center","2021-08",19300.87,2021-08-01
"Small Business Development Center","2021-09",17590.32,2021-09-01
"Small Business Development Center","2021-10",15285.63,2021-10-01
"Small Business Development Center","2021-11",16990.73,2021-11-01
"Small Business Development Center","2021-12",17574.88,2021-12-01
"Small Business Development Center","2022-01",25399.45,2022-01-01
"Small Business Development Center","2022-02",18142.53,2022-02-01
"Small Business Development Center","2022-03",24952.19,2022-03-01
"Small Business Development Center","2022-04",30357.63,2022-04-01
"Small Business Development Center","2022-05",21433.56,2022-05-01
"Small Business Development Center","2022-06",21441.04,2022-06-01
"Small Business Development Center","2022-07",21416.94,2022-07-01
"Small Business Development Center","2022-08",23319.04,2022-08-01
"Small Business Development Center","2022-09",20204.35,2022-09-01
"Small Business Development Center","2022-10",19062.56,2022-10-01
"Small Business Development Center","2022-11",17418.98,2022-11-01
"Small Business Development Center","2022-12",15667.06,2022-12-01
"Small Business Development Center","2023-01",18961.72,2023-01-01
"Small Business Development Center","2023-02",23985.71,2023-02-01
"Small Business Development Center","2023-03",24021.18,2023-03-01
"Small Business Development Center","2023-04",21879.65,2023-04-01
"Small Business Development Center","2023-05",22176.09,2023-05-01
"Small Business Development Center","2023-06",22321.9,2023-06-01
"Small Business Development Center","2023-07",19809.05,2023-07-01
"Small Business Development Center","2023-08",24580.94,2023-08-01
"Small Business Development Center","2023-09",26775.51,2023-09-01
"Small Business Development Center","2023-10",11653.74,2023-10-01
"Small Business Development Center","2023-11",16689.19,2023-11-01
"Small Business Development Center","2023-12",13692.76,2023-12-01
"Small Business Development Center","2024-01",20467.3,2024-01-01
"Small Business Development Center","2024-02",15576.35,2024-02-01
"Small Business Development Center","2024-03",18482.51,2024-03-01
"Small Business Development Center","2024-04",17608.82,2024-04-01
"Small Business Development Center","2024-05",14386.85,2024-05-01
"Small Business Development Center","2024-06",18276.6,2024-06-01
"Small Business Development Center","2024-07",18956.85,2024-07-01
"Small Business Development Center","2024-08",21540.9,2024-08-01
"Small Business Development Center","2024-09",20627.82,2024-09-01
"Small Business Development Center","2024-10",17023.16,2024-10-01
"Small Business Development Center","2024-11",14312.33,2024-11-01
"Small Business Development Center","2024-12",21483.8,2024-12-01
"Small Business Development Center","2025-01",17845.32,2025-01-01
"Small Business Development Center","2025-02",20710.85,2025-02-01
"Small Business Development Center","2025-03",21731.47,2025-03-01
"Small Business Development Center","2025-04",18187.32,2025-04-01
"Small Business Development Center","2025-05",20349.5,2025-05-01
"Social Work","2022-07",421.55,2022-07-01
"Social Work","2022-11",230.88,2022-11-01
"Social Work","2023-03",9.29,2023-03-01
"Social Work","2023-04",28.46,2023-04-01
"Social Work","2023-05",93.99,2023-05-01
"Social Work","2023-10",826.24,2023-10-01
"Social Work","2024-01",5.44,2024-01-01
"Social Work","2024-03",44.02,2024-03-01
"Social Work","2024-04",48.91,2024-04-01
"Student Educational Opportunity","2021-07",17760.96,2021-07-01
"Student Educational Opportunity","2021-08",16896.06,2021-08-01
"Student Educational Opportunity","2021-09",17082.91,2021-09-01
"Student Educational Opportunity","2021-10",15642.78,2021-10-01
"Student Educational Opportunity","2021-11",13389.87,2021-11-01
"Student Educational Opportunity","2021-12",14252.17,2021-12-01
"Student Educational Opportunity","2022-01",14611.56,2022-01-01
"Student Educational Opportunity","2022-02",16137.62,2022-02-01
"Student Educational Opportunity","2022-03",24538.73,2022-03-01
"Student Educational Opportunity","2022-04",17608.96,2022-04-01
"Student Educational Opportunity","2022-05",14493.73,2022-05-01
"Student Educational Opportunity","2022-06",21330.58,2022-06-01
"Student Educational Opportunity","2022-07",16805.55,2022-07-01
"Student Educational Opportunity","2022-08",15719.87,2022-08-01
"Student Educational Opportunity","2022-09",18038.36,2022-09-01
"Student Educational Opportunity","2022-10",15270.33,2022-10-01
"Student Educational Opportunity","2022-11",15857.06,2022-11-01
"Student Educational Opportunity","2022-12",13860.79,2022-12-01
"Student Educational Opportunity","2023-01",14673.6,2023-01-01
"Student Educational Opportunity","2023-02",24127.82,2023-02-01
"Student Educational Opportunity","2023-03",14120.37,2023-03-01
"Student Educational Opportunity","2023-04",16745.13,2023-04-01
"Student Educational Opportunity","2023-05",18423.27,2023-05-01
"Student Educational Opportunity","2023-06",20685.69,2023-06-01
"Student Educational Opportunity","2023-07",14995.57,2023-07-01
"Student Educational Opportunity","2023-08",16489.38,2023-08-01
"Student Educational Opportunity","2023-09",17206.95,2023-09-01
"Student Educational Opportunity","2023-10",20250,2023-10-01
"Student Educational Opportunity","2023-11",15833.21,2023-11-01
"Student Educational Opportunity","2023-12",14763.79,2023-12-01
"Student Educational Opportunity","2024-01",14903.51,2024-01-01
"Student Educational Opportunity","2024-02",26031.84,2024-02-01
"Student Educational Opportunity","2024-03",15431.54,2024-03-01
"Student Educational Opportunity","2024-04",16137.52,2024-04-01
"Student Educational Opportunity","2024-05",16063.46,2024-05-01
"Student Educational Opportunity","2024-06",19270.14,2024-06-01
"Student Educational Opportunity","2024-07",15346.63,2024-07-01
"Student Educational Opportunity","2024-08",15117.48,2024-08-01
"Student Educational Opportunity","2024-09",26313.72,2024-09-01
"Student Educational Opportunity","2024-10",20918.19,2024-10-01
"Student Educational Opportunity","2024-11",19174.07,2024-11-01
"Student Educational Opportunity","2024-12",13847.35,2024-12-01
"Student Educational Opportunity","2025-01",15064.74,2025-01-01
"Student Educational Opportunity","2025-02",26901.49,2025-02-01
"Student Educational Opportunity","2025-03",16474.6,2025-03-01
"Student Educational Opportunity","2025-04",17667.44,2025-04-01
"Student Educational Opportunity","2025-05",16119.03,2025-05-01
"Student Educational Opportunity","2025-06",15.65,2025-06-01
"Technology Transfer Office","2024-02",498.45,2024-02-01
"Technology Transfer Office","2024-03",91314.02,2024-03-01
"Technology Transfer Office","2024-04",612.17,2024-04-01
"Technology Transfer Office","2024-05",1122.32,2024-05-01
"Technology Transfer Office","2024-06",1122.32,2024-06-01
"Technology Transfer Office","2024-07",2813,2024-07-01
"Technology Transfer Office","2024-08",2729.94,2024-08-01
"Technology Transfer Office","2024-09",2729.94,2024-09-01
"Technology Transfer Office","2024-10",3267.85,2024-10-01
"Technology Transfer Office","2024-11",2760.99,2024-11-01
"Technology Transfer Office","2024-12",4977.72,2024-12-01
"Technology Transfer Office","2025-01",5212.43,2025-01-01
"Technology Transfer Office","2025-02",4443.4,2025-02-01
"Technology Transfer Office","2025-03",8001.05,2025-03-01
"Technology Transfer Office","2025-04",10590.98,2025-04-01
"Technology Transfer Office","2025-05",12818.41,2025-05-01
"Telehealth","2023-09",0,2023-09-01
"UW Extension","2021-07",22520.79,2021-07-01
"UW Extension","2021-08",23533.26,2021-08-01
"UW Extension","2021-09",34161.64,2021-09-01
"UW Extension","2021-10",24146.32,2021-10-01
"UW Extension","2021-11",26263.67,2021-11-01
"UW Extension","2021-12",25035.87,2021-12-01
"UW Extension","2022-01",23108.47,2022-01-01
"UW Extension","2022-02",27435.68,2022-02-01
"UW Extension","2022-03",13937.62,2022-03-01
"UW Extension","2022-04",26188.39,2022-04-01
"UW Extension","2022-05",24126.15,2022-05-01
"UW Extension","2022-06",31948.48,2022-06-01
"UW Extension","2022-07",29930.74,2022-07-01
"UW Extension","2022-08",25154.88,2022-08-01
"UW Extension","2022-09",36558.77,2022-09-01
"UW Extension","2022-10",24624.89,2022-10-01
"UW Extension","2022-11",27339.91,2022-11-01
"UW Extension","2022-12",32550.99,2022-12-01
"UW Extension","2023-01",34389.65,2023-01-01
"UW Extension","2023-02",29810.48,2023-02-01
"UW Extension","2023-03",29209.96,2023-03-01
"UW Extension","2023-04",28318.59,2023-04-01
"UW Extension","2023-05",26685.1,2023-05-01
"UW Extension","2023-06",26531.78,2023-06-01
"UW Extension","2023-07",35765.16,2023-07-01
"UW Extension","2023-08",27794.06,2023-08-01
"UW Extension","2023-09",33864.2,2023-09-01
"UW Extension","2023-10",26244.5,2023-10-01
"UW Extension","2023-11",27713.96,2023-11-01
"UW Extension","2023-12",28117.16,2023-12-01
"UW Extension","2024-01",28203.33,2024-01-01
"UW Extension","2024-02",36633.55,2024-02-01
"UW Extension","2024-03",28498.65,2024-03-01
"UW Extension","2024-04",26966.93,2024-04-01
"UW Extension","2024-05",33591.31,2024-05-01
"UW Extension","2024-06",30044.85,2024-06-01
"UW Extension","2024-07",25447.78,2024-07-01
"UW Extension","2024-08",25166.85,2024-08-01
"UW Extension","2024-09",33065.99,2024-09-01
"UW Extension","2024-10",29165.99,2024-10-01
"UW Extension","2024-11",24505.3,2024-11-01
"UW Extension","2024-12",24800.93,2024-12-01
"UW Extension","2025-01",20621.2,2025-01-01
"UW Extension","2025-02",24584.9,2025-02-01
"UW Extension","2025-03",19742.65,2025-03-01
"UW Extension","2025-04",20003.19,2025-04-01
"UW Extension","2025-05",19245.63,2025-05-01
"UW Extension","2025-06",119.48,2025-06-01
"UWSOP Distance Education","2025-05",6,2025-05-01
"UWSOP Distance Education","2025-06",1665.8,2025-06-01
"University Art Museum","2022-11",1601.2,2022-11-01
"University Art Museum","2023-04",54.96,2023-04-01
"University Art Museum","2023-05",388.3,2023-05-01
"University Art Museum","2023-06",1196.8,2023-06-01
"University Art Museum","2023-07",50.65,2023-07-01
"University Art Museum","2023-08",1033.43,2023-08-01
"University Art Museum","2023-10",1350,2023-10-01
"University Art Museum","2023-11",310.35,2023-11-01
"University Art Museum","2023-12",464.32,2023-12-01
"VP for Administration Office","2022-09",-0.19,2022-09-01
"VP for Research & Economic Development Office","2021-07",660.52,2021-07-01
"VP for Research & Economic Development Office","2021-08",605.98,2021-08-01
"VP for Research & Economic Development Office","2022-01",5892.73,2022-01-01
"VP for Research & Economic Development Office","2022-02",14364.27,2022-02-01
"VP for Research & Economic Development Office","2022-03",40814.21,2022-03-01
"VP for Research & Economic Development Office","2022-04",117725.7,2022-04-01
"VP for Research & Economic Development Office","2022-05",62302.73,2022-05-01
"VP for Research & Economic Development Office","2022-06",71148.71,2022-06-01
"VP for Research & Economic Development Office","2022-07",97866.1,2022-07-01
"VP for Research & Economic Development Office","2022-08",123153.67,2022-08-01
"VP for Research & Economic Development Office","2022-09",100164.65,2022-09-01
"VP for Research & Economic Development Office","2022-10",72666.58,2022-10-01
"VP for Research & Economic Development Office","2022-11",71906.87,2022-11-01
"VP for Research & Economic Development Office","2022-12",73309.22,2022-12-01
"VP for Research & Economic Development Office","2023-01",81130.12,2023-01-01
"VP for Research & Economic Development Office","2023-02",106306.08,2023-02-01
"VP for Research & Economic Development Office","2023-03",86111.08,2023-03-01
"VP for Research & Economic Development Office","2023-04",117110.6,2023-04-01
"VP for Research & Economic Development Office","2023-05",115320.34,2023-05-01
"VP for Research & Economic Development Office","2023-06",97800.51,2023-06-01
"VP for Research & Economic Development Office","2023-07",32109.26,2023-07-01
"VP for Research & Economic Development Office","2023-08",29883.75,2023-08-01
"VP for Research & Economic Development Office","2023-09",24872.03,2023-09-01
"VP for Research & Economic Development Office","2023-10",74904.83,2023-10-01
"VP for Research & Economic Development Office","2023-11",44190.67,2023-11-01
"VP for Research & Economic Development Office","2023-12",17686.28,2023-12-01
"VP for Research & Economic Development Office","2024-01",23835.7,2024-01-01
"VP for Research & Economic Development Office","2024-02",31481.37,2024-02-01
"VP for Research & Economic Development Office","2024-03",33159.82,2024-03-01
"VP for Research & Economic Development Office","2024-04",46966.94,2024-04-01
"VP for Research & Economic Development Office","2024-05",45793.65,2024-05-01
"VP for Research & Economic Development Office","2024-06",100055.6,2024-06-01
"VP for Research & Economic Development Office","2024-07",55682.73,2024-07-01
"VP for Research & Economic Development Office","2024-08",27870.16,2024-08-01
"VP for Research & Economic Development Office","2024-09",44638.93,2024-09-01
"VP for Research & Economic Development Office","2024-10",25002.03,2024-10-01
"VP for Research & Economic Development Office","2024-11",40815.83,2024-11-01
"VP for Research & Economic Development Office","2024-12",29895.51,2024-12-01
"VP for Research & Economic Development Office","2025-01",16669.1,2025-01-01
"VP for Research & Economic Development Office","2025-02",21600.57,2025-02-01
"VP for Research & Economic Development Office","2025-03",29460.32,2025-03-01
"VP for Research & Economic Development Office","2025-04",37629.77,2025-04-01
"VP for Research & Economic Development Office","2025-05",49040.85,2025-05-01
"VP for Research & Economic Development Office","2025-06",3085.4,2025-06-01
"VP of Global Engagement","2021-07",13504.44,2021-07-01
"VP of Global Engagement","2021-08",605.76,2021-08-01
"VP of Global Engagement","2022-09",780.33,2022-09-01
"VP of Global Engagement","2022-10",479.72,2022-10-01
"VP of Global Engagement","2022-11",4742.84,2022-11-01
"VP of Global Engagement","2022-12",622.92,2022-12-01
"VP of Global Engagement","2023-01",4503,2023-01-01
"VP of Global Engagement","2023-02",1262.25,2023-02-01
"VP of Global Engagement","2023-03",479.72,2023-03-01
"VP of Global Engagement","2023-04",479.72,2023-04-01
"VP of Global Engagement","2023-05",479.72,2023-05-01
"VP of Global Engagement","2023-09",7059.94,2023-09-01
"VP of Global Engagement","2023-10",1879.98,2023-10-01
"VP of Global Engagement","2023-11",493.22,2023-11-01
"VP of Global Engagement","2023-12",493.22,2023-12-01
"VP of Global Engagement","2024-04",4104.48,2024-04-01
"VP of Global Engagement","2024-06",4104.48,2024-06-01
"VP of Global Engagement","2024-07",328.68,2024-07-01
"VP of Global Engagement","2024-08",17,2024-08-01
"VP of Global Engagement","2024-09",833.4,2024-09-01
"Veterinary Science","2021-07",6230.22,2021-07-01
"Veterinary Science","2021-08",4792.75,2021-08-01
"Veterinary Science","2021-09",2996.44,2021-09-01
"Veterinary Science","2021-10",4862.25,2021-10-01
"Veterinary Science","2021-11",1955.09,2021-11-01
"Veterinary Science","2021-12",2046.27,2021-12-01
"Veterinary Science","2022-01",3177.42,2022-01-01
"Veterinary Science","2022-02",2454.51,2022-02-01
"Veterinary Science","2022-03",2465.99,2022-03-01
"Veterinary Science","2022-04",2929.71,2022-04-01
"Veterinary Science","2022-05",927.7,2022-05-01
"Veterinary Science","2022-06",1110.94,2022-06-01
"Veterinary Science","2022-09",441.91,2022-09-01
"Veterinary Science","2022-10",728.02,2022-10-01
"Veterinary Science","2022-11",586.82,2022-11-01
"Veterinary Science","2022-12",307.13,2022-12-01
"Veterinary Science","2023-01",8553.66,2023-01-01
"Veterinary Science","2023-02",4815.73,2023-02-01
"Veterinary Science","2023-03",5860.86,2023-03-01
"Veterinary Science","2023-04",2117.62,2023-04-01
"Veterinary Science","2023-05",1073.77,2023-05-01
"Veterinary Science","2023-06",1646.16,2023-06-01
"Veterinary Science","2023-07",6751.92,2023-07-01
"Veterinary Science","2023-08",5929.62,2023-08-01
"Veterinary Science","2023-09",7709.18,2023-09-01
"Veterinary Science","2023-10",2656.31,2023-10-01
"Veterinary Science","2023-11",877.42,2023-11-01
