"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Predicted_days_RF","Project Start Date","Predicted_date_RF"
"231620A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,5,530,"Fall",3e+05,35,2024-12-17,2025-01-21
"231771A0004","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,6,323,"Fall",80120,53,2024-10-11,2024-12-03
"231797A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",6,7,972,"Fall",380622.84,111,2023-11-01,2024-02-20
"231851A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",173,5,729,"Summer",15000,61,2024-07-01,2024-08-31
"231860A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,914,"Summer",6000,99,2023-07-01,2023-10-08
"231883A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,5,2191,"Spring",66213.39,85,2024-01-01,2024-03-26
"231883A0003","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,919,"Summer",636190,21,2024-06-25,2024-07-16
"231919A0001CS3","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",11,5,1826,"Fall",63923.29,265,2023-10-01,2024-06-22
"231919A0001CS4","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",11,5,1826,"Fall",58254,305,2023-10-01,2024-08-01
"240003A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Instruction - Sponsored",6,9,1460,"Spring",69204.15,104,2023-04-13,2023-07-26
"240008A0001B","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,3,395,"Fall",122488,12,2025-09-01,2025-09-13
"240023A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",12,4,1094,"Spring",16506,59,2024-05-01,2024-06-29
"240046A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",13,3,1673,"Summer",15000,165,2023-06-01,2023-11-13
"240133A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,4,1737,"Summer",22643,153,2024-08-27,2025-01-27
"240134A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,4,546,"Spring",955000,12,2024-02-01,2024-02-13
"240149A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",29,5,550,"Summer",26041.67,147,2023-07-24,2023-12-18
"240162A0001PC","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,13,1460,"Spring",17826,150,2024-04-01,2024-08-29
"240170A0002","State","Federal","Award Project","UW Grant","Instruction - Sponsored",1,4,365,"Summer",18000,27,2023-08-02,2023-08-29
"240319A0003CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",29,4,640,"Spring",10417.67,169,2024-03-25,2024-09-10
"240319A0005","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",29,4,639,"Spring",60000,174,2025-04-16,2025-10-07
"240319A0005A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,639,"Spring",20000,135,2025-04-16,2025-08-29
"240319A0006","State","Federal","Award Project","UW Grant","Research - Sponsored",29,5,685,"Spring",72000,143,2025-05-15,2025-10-05
"240344A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,3,994,"Spring",6208.52,23,2025-04-11,2025-05-04
"240344A0002IR","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,3,384,"Spring",7109,37,2025-04-11,2025-05-18
"240344A0002IRA","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,384,"Spring",5000,52,2025-04-11,2025-06-02
"240344A0002IRB","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,384,"Spring",5000,52,2025-04-11,2025-06-02
"240344A0002IRC","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,5,384,"Spring",5000,63,2025-04-11,2025-06-13
"240344A0002IRD","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,384,"Spring",5000,52,2025-04-11,2025-06-02
"240344A0002IRE","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,384,"Spring",4123,69,2025-04-11,2025-06-19
"240344A0002IRF","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,384,"Spring",4968,53,2025-04-11,2025-06-03
"240378A0002CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",7,3,365,"Spring",25000,101,2024-02-27,2024-06-07
"240378A0003CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",7,3,364,"Spring",3000,75,2025-02-27,2025-05-13
"240380A0004","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,5,729,"Fall",41201,143,2024-10-01,2025-02-21
"240380A0004A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,4,729,"Fall",103001,64,2024-10-01,2024-12-04
"240380A0004B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,4,729,"Fall",97737,65,2024-10-01,2024-12-05
"240380A0004C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,4,729,"Fall",100254,65,2024-10-01,2024-12-05
"240380A0004D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,4,729,"Fall",38454,104,2024-10-01,2025-01-13
"240380A0004E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,4,729,"Fall",17853,124,2024-10-01,2025-02-02
"240380A0004F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,4,729,"Fall",8240,118,2024-10-01,2025-01-27
"240450A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",9,6,1826,"Fall",209168.25,118,2023-10-01,2024-01-27
"240450A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",9,6,1826,"Fall",69722.75,141,2023-10-01,2024-02-19
"240457A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",32,8,1826,"Fall",1206271,296,2023-10-01,2024-07-23
"240457A0001CS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",32,7,1826,"Fall",250000,359,2023-10-01,2024-09-24
"240457A0001CS2","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",32,7,1826,"Fall",80000,316,2023-10-01,2024-08-12
"240457A0001CS3","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",32,7,1826,"Fall",130000,301,2023-10-01,2024-07-28
"240457A0001CS4","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",32,7,1826,"Fall",130000,301,2023-10-01,2024-07-28
"240457A0003","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",32,7,1825,"Fall",1343963,280,2024-10-01,2025-07-08
"240457A0003A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",32,7,1825,"Fall",0,297,2024-10-01,2025-07-25
"240457A0003CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",32,7,1825,"Fall",1343963,275,2024-10-01,2025-07-03
"240466A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",32,7,1826,"Fall",43951,343,2023-10-01,2024-09-08
"240482A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,4,730,"Fall",0,277,2023-10-01,2024-07-04
"240482A0002AE","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240482A0002AECS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",0,329,2023-10-01,2024-08-25
"240482A0002AF","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240482A0002B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240482A0002C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240482A0002H","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",40000,324,2023-10-01,2024-08-20
"240482A0003","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,729,"Fall",0,214,2024-10-01,2025-05-03
"240482A0003A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240482A0003AE","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,819,"Fall",0,311,2024-10-01,2025-08-08
