"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"241010A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",13,7,359,"Summer",8000,105
"241016A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,555,"Summer",60000,0
"241017A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,1187,"Fall",158271.98,221
"241020A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",25,9,1507,"Spring",199108,57
"241020A0001A","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",25,7,1507,"Spring",198406,19
"241020A0001ACS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",25,7,1507,"Spring",25066,199
"241020A0001CS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",25,6,1507,"Spring",21039,199
"241020A0001CS4","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",25,5,1507,"Spring",8588,199
"241024A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,6,609,"Spring",19000,206
"241025A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,5,595,"Spring",10000,192
"241028A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,6,1460,"Summer",157966,261
"241033A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,364,"Fall",2e+05,16
"241037A0001","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,548,"Summer",50000,277
"241038A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,3,1094,"Fall",217924,10
"241039A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",1,7,881,"Summer",103811,97
"241043A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,340,"Fall",323277,8
"241047A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",13,7,340,"Fall",175000,36
"241050A0001","Industry","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,3,259,"Summer",10000,17
"241054A0001","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,3,365,"Summer",28491,16
"241057A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",29,5,1187,"Summer",148838.4,105
"241057A0001A","State","Federal","Award Project","UW Grant","Research - Sponsored",29,5,1095,"Summer",37209.6,105
"241058A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,3,2555,"Fall",570000,3
"241061A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,4,1573,"Summer",180000,51
"241063A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,6,364,"Fall",250000,4
"241066A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,4,1094,"Summer",44000,1
"241075A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,5,473,"Summer",44642,77
"241075A0001PC","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,5,473,"Summer",54000,38
"241085A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",10,5,364,"Fall",45000,191
"241091A0001","State","Non-Federal","Award Project","UW Grant","Instruction - Sponsored",2,6,396,"Summer",185000,0
"241092A0001","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Research - Sponsored",7,4,1094,"Spring",64569,138
"241099A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,7,364,"Spring",263334.66,27
"241104A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,3,364,"Fall",64679.7,29
"241110A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Research - Sponsored",10,5,394,"Summer",294800,43
"241113A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",4,5,426,"Summer",25326,8
"250009A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",1,7,729,"Summer",128500,75
"250010A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,364,"Spring",87502.24,13
"250010A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,364,"Spring",37499.68,21
"250010A0001B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,364,"Spring",37499.68,30
"250010A0001C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,364,"Spring",37499.68,30
"250010A0001D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,364,"Spring",37499.68,30
"250010A0001E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,364,"Spring",37499.68,30
"250010A0001F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,364,"Spring",37499.68,30
"250010A0001G","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,364,"Spring",37499.68,30
"250015A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",1,4,1039,"Fall",240000,36
"250023A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",7,6,1095,"Fall",42136,304
"250026A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",1,7,729,"Fall",6500,35
"250029A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,364,"Summer",5000,216
"250044A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",4,5,181,"Fall",33000,10
"250047A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",4,4,731,"Fall",5000,298
"250054A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,4,364,"Summer",15000,36
"250055A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",1,5,133,"Fall",2000,20
"250056A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",7,3,280,"Fall",25000,37
"250067A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,5,527,"Fall",1e+05,103
"250070A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,90,"Spring",16066.04,29
"250070A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,90,"Spring",8933.96,60
"250071A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,426,"Summer",10936,1
"250071A0001CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",2,3,426,"Summer",10936,204
"250079A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,4,776,"Summer",89131,204
"250085A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,3,374,"Summer",1500,321
"250105A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,373,"Fall",1000,113
"250106A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,1365,"Fall",179258,58
"250111A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,3,364,"Fall",72083,68
"250112A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,6,375,"Fall",9020,39
"250113A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,3,710,"Spring",283095,183
"250134A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,4,273,"Fall",92000,30
"250135A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",32,5,729,"Fall",21577,181
"250136A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,7,426,"Summer",10035,309
"250137A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,6,426,"Summer",9306,257
"250137A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",3,6,516,"Summer",2400,242
"250139A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,5,1644,"Summer",263229.51,32
"250154A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,8,154,"Spring",140625,32
"250158A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,456,"Fall",6000,233
"250164A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,3,606,"Fall",40000,91
"250174A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",2,4,425,"Fall",21675,28
"250186A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,242,"Fall",10000,25
"250201A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,531,"Spring",216508,17
"250206A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",1,4,607,"Spring",2100,217
"250226A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",1,6,364,"Spring",19849,114
"250228A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,3,3650,"Fall",4e+07,69
"250244A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",3,4,226,"Fall",30000,120
"250278A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,5,1064,"Fall",297551,157
"250296A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",3,5,940,"Spring",27702,78
"250305A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,3,987,"Spring",204897.44,7
"250309A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",3,4,303,"Fall",40000,100
"250310A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,3,61,"Spring",14367.84,30
"250334A0001","State","Federal","Award Project","UW Grant","Instruction - Sponsored",2,5,123,"Spring",68583.09,30
"250347A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",22,8,683,"Summer",119518,94
"250348A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,3,364,"Fall",13120,242
"250352A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",12,3,364,"Summer",19508,36
"250354A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,3,339,"Spring",249000,66
"250364A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,4,180,"Spring",50000,6
"250374A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",10,4,654,"Fall",65000,75
"250377A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,1185,"Spring",80000,9
"250385A0001","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",22,7,84,"Spring",63000,10
"250389A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,362,"Spring",54356.36,86
"250412A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,4,1094,"Spring",87500,11
"250422A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",1,3,426,"Summer",10000,271
"250440A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",6,5,364,"Spring",60000,19
"250462A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",7,4,559,"Spring",3820,102
"250475A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,1240,"Spring",140000,50
"250490A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",23,3,166,"Spring",10217.77,15
"250497A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,4,740,"Spring",5000,49
"250509A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,4,333,"Spring",41045,20
"250520A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,4,121,"Spring",25761.6,60
"250522A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,7,729,"Spring",506941.78,50
"250522A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,729,"Spring",499867.26,23
"250540A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",13,3,303,"Spring",22500,81
"250582A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,4,343,"Spring",25000,9
"D-EDNLC0173","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,7,17349,"Summer",320010,5782
"SMR-COIFPM","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,8,6209,"Spring",2414801.41,1732
"VARSPN46408","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,11,9746,"Spring",154595,158
