"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"231737A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,7,747,"Spring",231660,73
"231741A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,8,730,"Fall",8407697,226
"231741A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",2,9,730,"Fall",115732,226
"231743A0003","State","Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,364,"Summer",110000,31
"231747A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,5,1460,"Summer",649943,157
"231764A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",6,10,730,"Fall",202836,152
"231764A0001A","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",4,13,730,"Fall",209539,82
"231764A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",6,9,730,"Fall",71350,152
"231771A0003","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,10,507,"Spring",81816,142
"231771A0005","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,6,324,"Fall",104779,51
"231773A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,6,1021,"Summer",92473.37,78
"231794A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,5,1095,"Summer",75000,279
"231797A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,9,972,"Fall",4997679,196
"231797A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,8,411,"Spring",2750000,24
"231800A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",6,4,1095,"Summer",188182,68
"231807A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,1826,"Spring",252216,122
"231818A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,3,730,"Fall",117923,236
"231827A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,8,730,"Fall",998587,34
"231829A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",8,6,932,"Spring",79584,30
"231833A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",4,10,932,"Spring",99906,44
"231837A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,3,730,"Summer",4e+05,60
"231838A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,4,730,"Summer",171094,61
"231841A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,5,1081,"Fall",50000,624
"231849A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,9,1080,"Summer",43298228,46
"231851A0003","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",173,5,364,"Summer",312677.5,2
"231852A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,6,1826,"Summer",1178690,136
"231852A0001PC","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,6,1826,"Summer",186550,220
"231853A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,914,"Summer",5000,48
"231854A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,914,"Summer",165000,30
"231855A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,914,"Summer",225000,31
"231856A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,914,"Summer",10000,284
"231858A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,914,"Summer",10000,335
"231861A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,4,914,"Summer",2000,282
"231862A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,914,"Summer",10000,24
"231874A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,5,1095,"Summer",99938,134
"231875A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",13,6,1095,"Summer",88501,62
"231878A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,5,1095,"Summer",1e+05,295
"231883A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,919,"Summer",636190,22
"231886A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,3,914,"Summer",15000,287
"231887A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,364,"Fall",34500,24
"231890A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,7,1095,"Summer",371710,0
"231896A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,7,914,"Summer",6500,261
